AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2018-07-02,31.15869017632241,16.619519094766616,38.33266852812126,29.19482525584089,20.78815128272944,22.08570572370391,2.892307692307693,16.81514476614699,17.000397825222127,20.446735395189,26.911076443057723,23.822825219473252,28.36134453781513,25.03666764447052,31.762436268430484,32.59623259623259,54.12177399148082,17.67602166420482,26.91771269177127,16.7522894795622,23.8228252194733,26.5633646928611
2018-07-03,32.675222112537014,16.370602577499124,43.29208406992732,31.336939721792888,20.6925439821279,23.47719620446892,2.9138251704897717,19.83344291036598,17.208165612420935,21.689014349564804,28.07160292921074,23.69988090512107,28.805448187005336,27.102390085570963,32.04949944382648,33.33333333333333,56.72268907563025,17.134559535333977,25.78347578347578,18.25745320083197,23.6998809051211,29.124004550625717
2018-07-04,33.415597235932864,15.08916323731138,45.12820512820512,33.13515655965121,21.82505085730893,24.863999999999983,2.9504080351537985,19.614288845058077,18.070801317233816,25.61112357030724,28.96760021965953,23.103186646433983,30.99370589357238,29.84406583886803,33.10626702997276,36.88368292018522,56.306306306306304,17.454545454545453,25.436046511627907,19.08308121945543,23.103186646434,29.427973107020836
2018-07-05,33.531451213472,15.766521301576644,43.95929694727105,34.55430870209612,21.4816933638444,27.81499202551832,2.24791265253693,19.558566433566437,19.0219643597182,27.922483850802244,30.554773303294844,21.596419246549782,32.90590231944182,29.025363351382158,32.938827891059475,36.897633304818925,56.23100303951367,17.84634961030698,27.42175856929955,20.34953315776873,21.5964192465498,30.45602605863192
2018-07-06,33.95185556670008,16.87006460875807,44.516521386580166,33.878557024423024,21.076711910934883,28.68824531516183,2.269779507133593,17.608130465610966,19.817566573488318,28.712234840368534,32.52398081534772,20.129084308188776,32.59818146643451,30.692766478054743,33.8379341050757,36.66956774006382,57.3248407643312,18.463057429652785,26.547231270358303,21.107524211571885,20.1290843081888,31.012516763522576
2018-07-07,34.470468431771884,14.97443389335281,44.404548174745656,36.88415446071903,20.99898063200816,31.189488243430134,2.269779507133593,20.20555944872693,20.2504317789292,30.54250320375907,33.74594753905099,20.768307322929168,32.645722937168806,31.98061780738946,33.92070484581499,37.79205607476635,60.07944389275074,19.452149791955616,28.304821150855368,21.476337448559654,20.7683073229292,30.091012514220708
2018-07-08,33.72353673723536,15.51267499054105,45.58672946958836,39.01135604542418,21.252763448784087,33.83356070941336,2.405498281786942,20.455550641309152,19.95744680851065,32.859868560525754,34.18803418803419,20.28135990621336,31.6146029356417,32.739059967585085,33.97058823529413,38.6382740263379,59.96131528046421,20.49457391923145,28.173374613003094,22.334107926671823,20.2813599062134,30.17191646475136
2018-07-09,34.44579780755176,16.278209396966332,48.06797491401982,39.45724746930863,23.13880356881674,33.953488372093005,2.3616734143049936,23.058773058773056,21.914144968332167,32.94367693942614,35.06187389510902,20.441118550610472,30.71297989031078,33.551293228712574,33.38213762811128,39.78435167265689,57.97763067792741,20.49457391923145,28.304821150855368,21.00182624576049,20.4411185506105,31.461053579468704
2018-07-10,34.54678719765453,16.647748770336737,49.06049969027462,40.1039411000433,22.83816948173813,35.34599728629578,4.298941798941799,23.058773058773056,20.43515358361776,33.58613217768147,35.12396694214876,20.36092585327579,30.33088235294117,32.76037873270211,33.75277572168765,39.78435167265689,57.97763067792741,20.34976152623211,28.167281672816728,21.680581739833013,20.3609258532758,32.167107837495685
2018-07-11,34.98694516971279,16.77468547464735,47.88847888478884,40.23086789226164,23.03771661569828,35.22650439486139,4.445964432284542,23.4102787456446,20.48759623609924,33.710407239819006,36.05731380884899,20.603414053195703,31.24368048533872,32.07326007326007,34.01162790697676,40.89643652561247,57.39412173108076,20.50186865990389,28.36684948202316,21.680581739833013,20.6034140531957,31.783033886740952
2018-07-12,34.415129582068644,17.808749516066584,48.13874788494077,41.19964973730296,23.4745886122033,35.369993211133725,4.539106145251397,24.17862100879222,21.187175043327564,33.607520564042304,36.05731380884899,20.36092585327579,31.30699088145896,32.34693877551021,34.10620792819747,40.89643652561247,53.36875150929726,20.723151645979488,29.87450260177533,22.299168975069243,20.3609258532758,31.74693321217628
2018-07-13,35.40715829930338,17.89187086736678,48.446147296722,42.50225835591689,23.6552748885587,35.91864874181316,4.603399433427763,25.726243229935992,20.5786350148368,34.582829504232166,36.929527495565225,20.36092585327579,31.40243902439024,33.728813559322035,35.158057054741725,40.89643652561247,54.96145237503108,19.96708721886999,30.53701938353988,23.26589595375722,20.3609258532758,31.07213381345104
2018-07-14,37.74567842765806,15.680125441003526,48.61781483106625,41.7493237150586,23.92186326070625,36.16799722318639,4.703328509406658,24.249138355489904,21.149253731343293,35.44631306597671,38.11222834901069,20.457232952305866,30.042484321262386,33.728813559322035,35.779816513761475,41.911554921540656,55.11407331453472,20.71713147410358,30.50476636974528,23.40116279069767,20.4572329523059,31.260715510344035
2018-07-15,38.62682143739194,14.984227129337537,50.258175559380376,43.484102104791766,24.48791005698445,36.48230848505667,4.9167927382753405,24.98731608320649,22.20006136851796,35.26244952893674,38.57816711590296,20.70203430394893,31.67102352704605,35.22022838499184,35.990888382687935,41.55586987270156,55.97500650872168,21.19976703552708,29.648810487133836,24.101796407185624,20.7020343039489,31.612286363093105
