AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz
Index,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2018-08-22,37.42187971644256,35.62842125743052,39.10183167422903,43.976194048017305,52.09735934264499,61.91154919443975,16.898433095827343,61.867752145142205,52.92322324986165,51.085993116919525,64.10959634343236,38.30310416925533,66.6985695742886,60.7974559928745,44.78268426105768,60.49000378409217,56.30110017828113,46.43551785060762,52.66784869402501,34.30219953011029,38.30310416925533,50.9190381640984
2018-08-23,37.34620710335291,30.467806485550465,38.44461016137728,44.52408142155542,53.39519469265534,67.31284529038734,16.219711901399336,61.39140660708152,54.7065398587245,47.31831437800734,63.87122749383739,39.54507089656214,61.33113278124707,61.01165035317553,44.03872595196336,59.56855737574223,57.32410640768386,45.26194701010089,50.21460589183528,36.74249865634658,39.54507089656214,50.41585208570803
2018-08-24,37.99940838580876,23.65494859911885,37.49003453012513,47.8733160129019,53.57020905603748,69.70939758903228,10.53707666876702,61.69034673761253,50.87946566176356,46.7943085009788,64.44083710373057,41.86778249655863,62.28620489709604,62.03224933635919,43.296925197528566,58.27760757236501,57.417613554074165,44.52046199901319,50.07315715587619,35.85774805482215,41.86778249655863,49.39129805549848
2018-08-25,36.06823445728567,21.32603756297076,35.30810684043223,47.48035550738698,53.12603771062837,72.0576158188089,14.361314188607537,63.18014716758396,47.709891552264295,42.93109852872294,63.647450716571136,48.58559137567,59.525376681964055,60.99374108471223,42.14907873868162,56.90846233086411,55.324169201869,46.34593979104887,48.79165479300376,34.65843363168782,48.58559137567,50.30239240567509
2018-08-26,38.21846406066155,22.31051177818905,38.2345745248669,48.67000151907453,52.1866402777087,71.03854271650712,22.77580465369373,62.642574413224125,47.75972605277893,44.03330367888134,61.163048529408,48.66239444703896,59.38413618949499,58.80024003045692,42.14662940198949,57.72256659672416,57.66652212845809,43.29459874787979,48.839640218396205,35.91308046854502,48.66239444703896,50.29304584517088
2018-08-27,38.35191240618977,22.582691919397774,36.31240137608432,48.28552710521922,53.231049287208144,71.106564977701,29.31008150350229,62.642574413224125,48.88884064161749,44.62397353229424,60.83433345701037,49.76833689156991,60.55658820866991,59.38363832681054,42.97413311273495,56.1126371305109,60.2877694180072,45.14188004265306,49.58454961393821,35.714396464783896,49.76833689156991,50.363161883522665
2018-08-28,39.196473338906166,28.946613254039463,36.26530083010887,48.931401951607725,51.39505594754985,70.0536864285699,29.31008150350229,60.22959660659053,48.296929646668175,44.76373539764232,60.902157808386576,54.33041766990354,60.033400480466256,59.36497782633653,42.72138720600484,58.24096044241966,61.47556048828399,45.29680327220126,50.8351230131141,37.04794885501011,54.33041766990354,49.9181464963176
2018-08-29,47.133547740370965,25.68496069274997,37.48733734927593,48.931401951607725,54.28967638286592,66.50665667067668,29.31008150350229,59.05110919758192,48.296929646668175,44.76373539764232,60.88447892481536,59.11614832008078,61.055158658624606,59.36497782633653,42.98942065333862,57.48604743889306,60.08706462986906,42.064457223362325,52.50391645461427,42.51997449180717,59.11614832008078,49.9181464963176
2018-08-30,47.133547740370965,25.68496069274997,37.48733734927593,48.931401951607725,54.28967638286592,66.50665667067668,29.31008150350229,59.05110919758192,48.296929646668175,44.76373539764232,60.88447892481536,59.11614832008078,61.055158658624606,59.36497782633653,42.98942065333862,57.48604743889306,60.08706462986906,42.064457223362325,52.50391645461427,42.51997449180717,59.11614832008078,49.9181464963176
2018-08-31,47.133547740370965,25.68496069274997,37.48733734927593,48.931401951607725,54.28967638286592,66.50665667067668,29.31008150350229,59.05110919758192,48.296929646668175,44.76373539764232,60.88447892481536,59.11614832008078,61.055158658624606,59.36497782633653,42.98942065333862,57.48604743889306,60.08706462986906,42.064457223362325,52.50391645461427,42.51997449180717,59.11614832008078,49.9181464963176
2018-09-01,48.71804981612242,26.069699816884768,36.12044015579241,48.43416148693812,55.74938812665274,68.11364391926958,27.537584242463502,61.93959291551767,48.71256369825917,49.29398736475432,55.44260720351326,57.88126244395258,59.25157075412723,57.7260306715487,41.65288947466814,58.20536512245632,59.69365273644477,41.12867420505335,48.41810510528079,42.03937038742865,57.88126244395258,51.12858415159025
2018-09-02,45.45912688682015,25.64320080351188,41.91878214701721,51.074507432438814,53.14743450648085,68.74166207769568,27.537584242463502,63.57889943379334,48.85595411398271,48.47142892616477,54.806170821693456,59.73101322422205,60.456164961619294,59.50303632129859,44.08520701861514,57.513041347724574,56.03105407010085,40.42527896238023,50.779786357536494,43.42300003056456,59.73101322422205,48.19592100856089
2018-09-03,44.98368334079848,25.510634761881093,41.530170765119685,50.42610978955931,52.0166382839,65.35407844461737,26.54985150376706,61.14147348672233,47.04015858150001,51.465704057333696,54.58842860395316,58.27562358454684,62.88190362849462,58.39100405214891,41.61432426589984,56.93837810904796,51.09784142909146,43.96538866135816,50.32537821158847,42.28365034794528,58.27562358454684,50.8077362007973
