AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz
Index,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2018-08-22,31.80980464430518,19.41264310602289,49.31856899488925,38.415584415584405,17.902243351656516,35.06718682271348,18.08318264014467,25.745638716938657,24.07577708295016,36.36087484811664,30.204460966542744,17.496375060415662,32.36384374108924,41.69543536632143,50.26511134676562,48.75222816399286,51.35473113797415,29.250283983339635,30.901922129127644,33.04881301680446,17.4963750604157,39.04307849480675,37.42187971644256,35.62842125743052,39.10183167422903,43.976194048017305,52.09735934264499,61.91154919443975,16.898433095827343,61.867752145142205,52.92322324986165,51.085993116919525,64.10959634343236,38.30310416925533,66.6985695742886,60.7974559928745,44.78268426105768,60.49000378409217,56.30110017828113,46.43551785060762,52.66784869402501,34.30219953011029,38.30310416925533,50.9190381640984
2018-08-23,32.37465993004275,21.149674620390456,51.03448275862068,37.64352104975396,18.28781344833094,32.74418604651163,11.840688912809474,25.433361750497298,25.17130189439741,35.571979434447286,29.36585365853658,17.929668152550775,32.25293930727677,40.60090927060684,49.94375703037119,48.817672682016166,52.44785014899957,29.93025958930646,31.73868312757201,31.03448275862067,17.9296681525508,39.37167003490723,37.34620710335291,30.467806485550465,38.44461016137728,44.52408142155542,53.39519469265534,67.31284529038734,16.219711901399336,61.39140660708152,54.7065398587245,47.31831437800734,63.87122749383739,39.54507089656214,61.33113278124707,61.01165035317553,44.03872595196336,59.56855737574223,57.32410640768386,45.26194701010089,50.21460589183528,36.74249865634658,39.54507089656214,50.41585208570803
2018-08-24,33.772110242698474,25.50686723348593,49.22446590576528,39.62904911180772,19.172333960353065,36.06126914660831,14.884979702300404,26.62881859962152,23.2256816863276,38.18347509113,30.9818875119161,20.298220298220304,33.020252421485175,38.79716981132076,48.95320197044333,47.54816112084062,51.78646490121899,31.39534883720929,32.759045040610374,25.936048100573903,20.2982202982203,36.66208319009971,37.99940838580876,23.65494859911885,37.49003453012513,47.8733160129019,53.57020905603748,69.70939758903228,10.53707666876702,61.69034673761253,50.87946566176356,46.7943085009788,64.44083710373057,41.86778249655863,62.28620489709604,62.03224933635919,43.296925197528566,58.27760757236501,57.417613554074165,44.52046199901319,50.07315715587619,35.85774805482215,41.86778249655863,49.39129805549848
2018-08-25,34.53373768006064,24.338942307692307,48.07636679201619,40.49528301886792,21.68791574279379,40.40041067761808,16.566265060240966,25.19826042466104,23.57493393733484,39.43014705882352,33.14659197012138,23.98160315374508,33.11170212765956,38.377358490566046,46.274738067520346,46.07343875636556,51.11381125961926,30.455291222313363,33.13899253731343,28.135259356533155,23.9816031537451,37.20516962843298,36.06823445728567,21.32603756297076,35.30810684043223,47.48035550738698,53.12603771062837,72.0576158188089,14.361314188607537,63.18014716758396,47.709891552264295,42.93109852872294,63.647450716571136,48.58559137567,59.525376681964055,60.99374108471223,42.14907873868162,56.90846233086411,55.324169201869,46.34593979104887,48.79165479300376,34.65843363168782,48.58559137567,50.30239240567509
2018-08-26,32.327892122072384,24.294670846394983,48.91122278056951,40.991926182237584,21.37139404923728,35.63268892794376,20.19315188762072,25.808841689306007,24.20488165680473,45.04702194357367,29.52952952952953,23.98160315374508,32.46926777124531,37.98114689709348,44.56957434624926,41.6616676664667,48.91689641591177,25.828247602441152,33.035913450814185,28.34799608993157,23.9816031537451,37.02572347266884,38.21846406066155,22.31051177818905,38.2345745248669,48.67000151907453,52.1866402777087,71.03854271650712,22.77580465369373,62.642574413224125,47.75972605277893,44.03330367888134,61.163048529408,48.66239444703896,59.38413618949499,58.80024003045692,42.14662940198949,57.72256659672416,57.66652212845809,43.29459874787979,48.839640218396205,35.91308046854502,48.66239444703896,50.29304584517088
2018-08-27,33.5023664638269,23.55623100303952,47.53410283315843,40.71019473081327,20.851753610374303,36.47007805724198,18.992568125516105,25.808841689306007,24.77564102564103,45.75273338940285,27.78783490224474,24.96839443742099,32.31292517006802,37.106676899462784,45.6946645536186,42.692987625220965,48.17784256559765,26.13776137761377,34.272121788772594,28.69649805447471,24.968394437421,35.88531340552084,38.35191240618977,22.58269191939777,36.31240137608432,48.28552710521922,53.231049287208144,71.106564977701,29.31008150350229,62.642574413224125,48.88884064161749,44.62397353229424,60.83433345701037,49.76833689156991,60.55658820866991,59.38363832681054,42.97413311273495,56.1126371305109,60.2877694180072,45.14188004265306,49.58454961393821,35.714396464783896,49.76833689156991,50.363161883522665
2018-08-28,34.05498281786941,26.16279069767442,46.81742043551088,41.18192352259558,20.135335864003963,35.711406690850446,18.992568125516105,26.112185686653767,24.65709728867624,45.37114261884904,28.563753581661885,24.30555555555556,31.81349819680576,36.33099982049902,45.07068110886725,42.08306294613886,46.42049736247172,21.9347581552306,32.95516925892041,31.781557743957016,24.3055555555556,36.949860724234014,39.196473338906166,28.946613254039463,36.26530083010887,48.931401951607725,51.39505594754985,70.0536864285699,29.31008150350229,60.22959660659053,48.296929646668175,44.76373539764232,60.902157808386576,54.33041766990354,60.033400480466256,59.36497782633653,42.72138720600484,58.24096044241966,61.47556048828399,45.29680327220126,50.8351230131141,37.04794885501011,54.33041766990354,49.9181464963176
2018-08-29,37.2167344567112,28.681855166802283,44.48828034346716,41.18192352259558,20.929884885633133,37.89986091794157,18.992568125516105,24.980174464710544,24.65709728867624,45.37114261884904,28.424426450742235,28.609625668449205,29.81651376146788,36.33099982049902,45.78693701179991,41.18658641444539,48.4828921885087,24.249633967789155,31.819787985865727,31.279979803080018,28.6096256684492,36.949860724234014,47.133547740370965,25.68496069274997,37.48733734927593,48.931401951607725,54.28967638286592,66.50665667067668,29.31008150350229,59.05110919758192,48.296929646668175,44.76373539764232,60.88447892481536,59.11614832008078,61.055158658624606,59.36497782633653,42.98942065333862,57.48604743889306,60.08706462986906,42.064457223362325,52.50391645461427,42.51997449180717,59.11614832008078,49.9181464963176
2018-08-30,37.2167344567112,28.681855166802283,44.48828034346716,41.18192352259558,20.929884885633133,37.89986091794157,18.992568125516105,24.980174464710544,24.65709728867624,45.37114261884904,28.424426450742235,28.609625668449205,29.81651376146788,36.33099982049902,45.78693701179991,41.18658641444539,48.4828921885087,24.249633967789155,31.819787985865727,31.279979803080018,28.6096256684492,36.949860724234014,47.133547740370965,25.68496069274997,37.48733734927593,48.931401951607725,54.28967638286592,66.50665667067668,29.31008150350229,59.05110919758192,48.296929646668175,44.76373539764232,60.88447892481536,59.11614832008078,61.055158658624606,59.36497782633653,42.98942065333862,57.48604743889306,60.08706462986906,42.064457223362325,52.50391645461427,42.51997449180717,59.11614832008078,49.9181464963176
